18:38:59.537 [main] INFO  com.demo.baseutil.Basetest - 
18:38:59.548 [main] INFO  com.demo.baseutil.Basetest - Running locally JavaMail
18:38:59.646 [main] INFO  com.demo.baseutil.Basetest2 - Folder creation for Extent
18:38:59.652 [main] INFO  com.demo.baseutil.Basetest - ExtentDir:-C:\Users\Deepti Jindal\eclipse-workspace2\com.NFR.Trace/reports/Automation Report- 07_26_2024_18_38_59/Report/07_26_2024_18_38_59
18:38:59.745 [main] INFO  com.demo.baseutil.Basetest - Report Initiated
18:38:59.746 [main] INFO  com.demo.baseutil.Basetest - Screenshot folder created
18:39:09.108 [main] INFO  com.demo.baseutil.Basetest - Validate Sign in with FarmtoPlate account is clickable
18:39:11.588 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Sign in with FarmtoPlate account
18:39:11.599 [main] INFO  com.demo.baseutil.Basetest - Url contains farmtoplateapps.io/login
18:39:11.615 [main] INFO  com.demo.baseutil.Basetest - Sign in title matched
18:39:11.616 [main] INFO  com.demo.baseutil.Basetest - UI verified for Sigin page.
18:39:11.616 [main] INFO  com.demo.baseutil.Basetest - Sign in function call
18:39:11.617 [main] INFO  com.demo.baseutil.Basetest - Validate email address field is clicked is clickable
18:39:13.931 [main] INFO  com.demo.baseutil.Basetest - Clicked on : email address field is clicked
18:39:13.932 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Email Id Entered
18:39:14.255 [main] INFO  com.demo.baseutil.Basetest - ldekkenq362@yopmail.com typed into Email Id Entered
18:39:14.255 [main] INFO  com.demo.baseutil.Basetest - Validate Enter the password is clickable
18:39:16.625 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Enter the password
18:39:16.627 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Password Id Entered
18:39:16.880 [main] INFO  com.demo.baseutil.Basetest - Admin@1234 typed into Password Id Entered
18:39:20.938 [main] INFO  com.demo.baseutil.Basetest - Scroll down
18:39:20.938 [main] INFO  com.demo.baseutil.Basetest - Validate Press the signin button is clickable
18:39:23.705 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Press the signin button
18:39:25.714 [main] INFO  com.demo.baseutil.Basetest - HomePage title  is matched
18:39:35.727 [main] INFO  com.demo.baseutil.Basetest - Scroll till the transaction is scrolled
18:39:35.831 [main] INFO  com.demo.baseutil.Basetest - Scroll till the transaction is scrolled completed
18:39:35.831 [main] INFO  com.demo.baseutil.Basetest - Validate transaction is clicked is clickable
18:39:38.360 [main] INFO  com.demo.baseutil.Basetest - Clicked on : transaction is clicked
18:39:43.375 [main] INFO  com.demo.baseutil.Basetest - Validate add new is clicked is clickable
18:39:45.865 [main] INFO  com.demo.baseutil.Basetest - Clicked on : add new is clicked
18:39:50.867 [main] INFO  com.demo.baseutil.Basetest - Validate sharedproduct is clicked is clickable
18:39:53.273 [main] INFO  com.demo.baseutil.Basetest - Clicked on : sharedproduct is clicked
18:39:58.280 [main] INFO  com.demo.baseutil.Basetest - Validate Product id is clicked is clickable
18:40:00.741 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Product id is clicked
18:40:02.745 [main] INFO  com.demo.baseutil.Basetest - Validate Productselect is clicked is clickable
18:40:05.121 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Productselect is clicked
18:40:07.136 [main] INFO  com.demo.baseutil.Basetest - Validate chooseprocess id is clicked is clickable
18:40:09.523 [main] INFO  com.demo.baseutil.Basetest - Clicked on : chooseprocess id is clicked
18:40:11.527 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Harvestiong/commission is entered
18:40:11.840 [main] INFO  com.demo.baseutil.Basetest - disagg typed into Harvestiong/commission is entered
18:40:13.855 [main] INFO  com.demo.baseutil.Basetest - Validate process is selected is clickable
18:40:13.960 [main] ERROR com.demo.baseutil.Basetest - process is selected is not clickable
18:40:13.960 [main] ERROR com.demo.baseutil.Basetest - Unable to click on process is selected
18:40:14.250 [main] INFO  com.demo.baseutil.Basetest - Browser is closed sucessfuly
18:40:14.859 [main] INFO  com.demo.baseutil.Basetest - Browser is closed sucessfuly
18:40:15.573 [main] ERROR com.demo.baseutil.Basetest - Failed to close the Browser
